epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.57353,3.20199,4.34747,1.81538,0.00201,0.00148,0.00102,0.00029,3.05954,4.71376,1.72794,6e-06,6e-06,6e-06
2,12.4485,2.98033,4.29141,1.77178,0.00473,0.00346,0.0024,0.00086,3.0071,4.29595,1.68712,1.29571e-05,1.29571e-05,1.29571e-05
3,18.3347,2.87425,4.13146,1.72258,0.00952,0.00691,0.00494,0.00197,2.94635,3.97695,1.66248,1.9868e-05,1.9868e-05,1.9868e-05
4,24.4833,2.96217,3.91401,1.70755,0.07662,0.01155,0.03888,0.01667,2.90995,3.89556,1.64055,2.67327e-05,2.67327e-05,2.67327e-05
5,30.6231,2.79279,3.91611,1.64876,0.08251,0.01226,0.04248,0.02062,2.81866,3.81382,1.5861,3.35512e-05,3.35512e-05,3.35512e-05
6,36.6367,2.72985,3.69738,1.62845,0.10421,0.01812,0.05415,0.0276,2.76517,3.73295,1.56166,4.03235e-05,4.03235e-05,4.03235e-05
7,42.9404,2.93834,3.4116,1.56125,0.10421,0.01812,0.05415,0.0276,2.76517,3.73295,1.56166,4.70496e-05,4.70496e-05,4.70496e-05
8,49.1534,2.65095,3.30258,1.5497,0.16617,0.03284,0.08937,0.04187,2.70428,3.51174,1.52241,5.37295e-05,5.37295e-05,5.37295e-05
9,55.3283,2.6347,3.11302,1.48536,0.19199,0.0496,0.10686,0.04775,2.65874,3.3814,1.4982,6.03632e-05,6.03632e-05,6.03632e-05
10,61.4422,2.56045,3.02948,1.48087,0.19199,0.0496,0.10686,0.04775,2.65874,3.3814,1.4982,6.69507e-05,6.69507e-05,6.69507e-05
11,67.5583,2.5577,2.80705,1.4679,0.22053,0.07604,0.12729,0.05705,2.59182,3.13153,1.45763,7.3492e-05,7.3492e-05,7.3492e-05
12,73.7184,2.65632,2.78451,1.4832,0.22053,0.07604,0.12729,0.05705,2.59182,3.13153,1.45763,7.99871e-05,7.99871e-05,7.99871e-05
13,79.9431,2.51475,2.61902,1.42762,0.26067,0.11171,0.15743,0.07189,2.51865,2.73593,1.39916,8.6436e-05,8.6436e-05,8.6436e-05
14,85.9527,2.54893,2.58526,1.43608,0.26067,0.11171,0.15743,0.07189,2.51865,2.73593,1.39916,9.28387e-05,9.28387e-05,9.28387e-05
15,92.2449,2.63455,2.48916,1.3998,0.29241,0.13211,0.18057,0.08395,2.44355,2.3521,1.34018,9.538e-05,9.538e-05,9.538e-05
16,98.6502,2.5893,2.36677,1.3904,0.29241,0.13211,0.18057,0.08395,2.44355,2.3521,1.34018,9.505e-05,9.505e-05,9.505e-05
17,105.199,2.46,2.32311,1.38785,0.33968,0.14547,0.20761,0.09824,2.39466,2.09119,1.29645,9.472e-05,9.472e-05,9.472e-05
18,111.737,2.66595,2.18177,1.39085,0.33968,0.14547,0.20761,0.09824,2.39466,2.09119,1.29645,9.439e-05,9.439e-05,9.439e-05
19,118.222,2.5256,2.28972,1.3703,0.33968,0.14547,0.20761,0.09824,2.39466,2.09119,1.29645,9.406e-05,9.406e-05,9.406e-05
20,124.871,2.50452,2.23924,1.40154,0.36241,0.14898,0.22416,0.10245,2.37643,1.99063,1.28244,9.373e-05,9.373e-05,9.373e-05
21,131.104,2.61164,2.18986,1.37638,0.36241,0.14898,0.22416,0.10245,2.37643,1.99063,1.28244,9.34e-05,9.34e-05,9.34e-05
22,137.333,2.43426,2.12611,1.34822,0.36513,0.1451,0.22389,0.10012,2.36032,1.88237,1.27048,9.307e-05,9.307e-05,9.307e-05
23,143.779,2.50467,2.16645,1.34602,0.36513,0.1451,0.22389,0.10012,2.36032,1.88237,1.27048,9.274e-05,9.274e-05,9.274e-05
24,149.992,2.34973,2.099,1.33436,0.36666,0.13772,0.22164,0.09836,2.36102,1.80433,1.26683,9.241e-05,9.241e-05,9.241e-05
25,156.384,2.42227,2.03757,1.33201,0.36666,0.13772,0.22164,0.09836,2.36102,1.80433,1.26683,9.208e-05,9.208e-05,9.208e-05
26,162.797,2.38736,2.07656,1.33443,0.35227,0.13087,0.20856,0.09174,2.35013,1.75575,1.25641,9.175e-05,9.175e-05,9.175e-05
27,169.009,2.51923,2.01041,1.32413,0.35227,0.13087,0.20856,0.09174,2.35013,1.75575,1.25641,9.142e-05,9.142e-05,9.142e-05
28,174.897,2.29772,1.98665,1.30376,0.35227,0.13087,0.20856,0.09174,2.35013,1.75575,1.25641,9.109e-05,9.109e-05,9.109e-05
29,181.368,2.53561,2.04964,1.32226,0.34485,0.12945,0.20254,0.0917,2.33325,1.71659,1.24304,9.076e-05,9.076e-05,9.076e-05
30,187.743,2.44761,1.97104,1.28218,0.34485,0.12945,0.20254,0.0917,2.33325,1.71659,1.24304,9.043e-05,9.043e-05,9.043e-05
31,194.182,2.45641,1.99494,1.31651,0.33978,0.12657,0.19754,0.09057,2.31305,1.69233,1.22564,9.01e-05,9.01e-05,9.01e-05
32,200.632,2.55071,1.89741,1.28499,0.33978,0.12657,0.19754,0.09057,2.31305,1.69233,1.22564,8.977e-05,8.977e-05,8.977e-05
33,206.964,2.32883,1.92499,1.28432,0.33614,0.12513,0.19526,0.08942,2.29227,1.68733,1.21186,8.944e-05,8.944e-05,8.944e-05
34,213.55,2.36186,1.84835,1.26614,0.33614,0.12513,0.19526,0.08942,2.29227,1.68733,1.21186,8.911e-05,8.911e-05,8.911e-05
35,220.091,2.31987,1.8497,1.26464,0.33614,0.12513,0.19526,0.08942,2.29227,1.68733,1.21186,8.878e-05,8.878e-05,8.878e-05
36,226.487,2.34293,1.83557,1.24446,0.33047,0.12454,0.1916,0.08996,2.27255,1.67971,1.20539,8.845e-05,8.845e-05,8.845e-05
37,232.725,2.35555,1.85271,1.26965,0.33047,0.12454,0.1916,0.08996,2.27255,1.67971,1.20539,8.812e-05,8.812e-05,8.812e-05
38,239.034,2.41503,1.90244,1.26145,0.35055,0.13155,0.20415,0.09749,2.24698,1.66611,1.19731,8.779e-05,8.779e-05,8.779e-05
39,245.479,2.27368,1.82049,1.25182,0.35055,0.13155,0.20415,0.09749,2.24698,1.66611,1.19731,8.746e-05,8.746e-05,8.746e-05
40,252.091,2.3355,1.78148,1.2363,0.35936,0.1352,0.21071,0.10076,2.22556,1.64727,1.19046,8.713e-05,8.713e-05,8.713e-05
41,258.606,2.29671,1.76252,1.23344,0.35936,0.1352,0.21071,0.10076,2.22556,1.64727,1.19046,8.68e-05,8.68e-05,8.68e-05
42,264.946,2.25219,1.81053,1.30278,0.36512,0.13628,0.21668,0.10537,2.20026,1.63093,1.1835,8.647e-05,8.647e-05,8.647e-05
43,271.146,2.2788,1.81312,1.31896,0.36512,0.13628,0.21668,0.10537,2.20026,1.63093,1.1835,8.614e-05,8.614e-05,8.614e-05
44,277.683,2.31038,1.78937,1.27393,0.36512,0.13628,0.21668,0.10537,2.20026,1.63093,1.1835,8.581e-05,8.581e-05,8.581e-05
45,284.435,2.33048,1.74461,1.25385,0.38386,0.14333,0.22858,0.10846,2.18441,1.6159,1.18138,8.548e-05,8.548e-05,8.548e-05
46,290.743,2.23817,1.7184,1.25092,0.38386,0.14333,0.22858,0.10846,2.18441,1.6159,1.18138,8.515e-05,8.515e-05,8.515e-05
47,297.257,2.30066,1.76048,1.25497,0.39307,0.14499,0.2338,0.11214,2.1766,1.60172,1.18151,8.482e-05,8.482e-05,8.482e-05
48,303.735,2.23729,1.69854,1.24194,0.39307,0.14499,0.2338,0.11214,2.1766,1.60172,1.18151,8.449e-05,8.449e-05,8.449e-05
49,310.378,2.22473,1.66012,1.2286,0.38809,0.14086,0.23091,0.11039,2.17381,1.59145,1.18063,8.416e-05,8.416e-05,8.416e-05
50,316.94,2.23287,1.68716,1.24368,0.38809,0.14086,0.23091,0.11039,2.17381,1.59145,1.18063,8.383e-05,8.383e-05,8.383e-05
51,323.21,2.30932,1.67275,1.25824,0.38809,0.14086,0.23091,0.11039,2.17381,1.59145,1.18063,8.35e-05,8.35e-05,8.35e-05
52,329.638,2.34329,1.76847,1.282,0.39009,0.13897,0.23098,0.11251,2.16848,1.59397,1.17891,8.317e-05,8.317e-05,8.317e-05
53,336.154,2.23336,1.67716,1.25094,0.39009,0.13897,0.23098,0.11251,2.16848,1.59397,1.17891,8.284e-05,8.284e-05,8.284e-05
54,342.833,2.19782,1.65322,1.21697,0.39531,0.14007,0.23248,0.113,2.15879,1.5935,1.17451,8.251e-05,8.251e-05,8.251e-05
55,349.161,2.17228,1.72239,1.27482,0.39531,0.14007,0.23248,0.113,2.15879,1.5935,1.17451,8.218e-05,8.218e-05,8.218e-05
56,355.55,2.25024,1.69831,1.25249,0.39802,0.13865,0.2333,0.11509,2.15341,1.59758,1.17124,8.185e-05,8.185e-05,8.185e-05
57,361.874,2.16905,1.65397,1.24532,0.39802,0.13865,0.2333,0.11509,2.15341,1.59758,1.17124,8.152e-05,8.152e-05,8.152e-05
58,368.388,2.2744,1.66474,1.24268,0.38614,0.13517,0.22672,0.11249,2.15319,1.59699,1.17099,8.119e-05,8.119e-05,8.119e-05
59,374.562,2.24861,1.75037,1.30132,0.38614,0.13517,0.22672,0.11249,2.15319,1.59699,1.17099,8.086e-05,8.086e-05,8.086e-05
60,380.843,2.19451,1.65848,1.2526,0.38614,0.13517,0.22672,0.11249,2.15319,1.59699,1.17099,8.053e-05,8.053e-05,8.053e-05
61,387.275,2.18438,1.66012,1.25143,0.372,0.13263,0.21826,0.10799,2.1493,1.60572,1.1694,8.02e-05,8.02e-05,8.02e-05
62,393.524,2.23682,1.67538,1.25937,0.372,0.13263,0.21826,0.10799,2.1493,1.60572,1.1694,7.987e-05,7.987e-05,7.987e-05
63,399.809,2.14837,1.61645,1.2367,0.37983,0.13782,0.22423,0.10806,2.1524,1.60892,1.16871,7.954e-05,7.954e-05,7.954e-05
